Groupe,Secteur,Marque,Siège France,Pays d'Origine,CEO/Président,Email CEO,DRH (Directeur Ressources Humaines),Email DRH,DAF (Directeur Admin Financier),Équipe RH - Manager 1,Équipe RH - Manager 2,Équipe RH - Manager 3,Localisation Principale,Note Importance Recrutement
LVMH,Mode & Maroquinerie,Louis Vuitton,Paris 8e,France,Delphine Arnault,N/A,Julien Bourgeois,N/A,N/A,Marie Bertrel,Olivier Sastre (ex),Cathie Pezard,Paris,TRÈS IMPORTANT - Volume énorme
LVMH,Mode & Maroquinerie,Dior,Paris 8e,France,Antoine Arnault (Groupe),N/A,Agnès Pinel (Parfums Dior),N/A,N/A,Alexandra de Rancogne,Nicole Guidry,Jerome Sauvage,Paris,TRÈS IMPORTANT - Volume importante
LVMH,Mode & Maroquinerie,Céline,Paris 8e,France,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paris,Important - Nouvelle direction
LVMH,Mode & Maroquinerie,Saint Laurent,Paris,France,Cédric Charbit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paris,TRÈS IMPORTANT - Croissance +7-9%
LVMH,Mode & Maroquinerie,Fendi,Paris 8e,France,Pierre-Emmanuel Angeloglou,N/A,N/A,N/A,N/A,Enrico Sorenti (Président Fendi France),N/A,N/A,Paris,Important - Marque italienne
LVMH,Mode & Maroquinerie,Givenchy,Paris 8e,France,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paris,Modéré - Prestige
LVMH,Mode & Maroquinerie,Loewe,Madrid / Paris,Espagne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madrid,Modéré
LVMH,Mode & Maroquinerie,Kenzo,Paris 8e,France,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paris,Modéré - Marque phare
LVMH,Mode & Maroquinerie,Berluti,Paris 8e,France,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paris,Faible à Modéré - Niche
LVMH,Joaillerie & Montres,Bulgari,Rome / Paris,Italie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paris (office France),Important - Prestige
LVMH,Joaillerie & Montres,Chaumet,Paris 1er,France,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paris,Faible à Modéré - Heritage
LVMH,Joaillerie & Montres,Fred,Paris 8e,France,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paris,Faible - Niche luxury
LVMH,Joaillerie & Montres,Hublot,Nyon / Paris,Suisse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nyon/Paris,Modéré
LVMH,Joaillerie & Montres,Zenith,Nyon / Paris,Suisse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nyon,Modéré
LVMH,Joaillerie & Montres,Loro Piana,Venezia / Paris,Italie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paris (office),Modéré
